CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
819,Male,41,164018,40,Doctor,1,3
1024,Male,84,36386,89,Artist,8,5
312,Male,12,73113,46,Entertainment,8,1
1394,Female,13,180167,5,Engineer,8,4
1422,Male,97,86599,77,Marketing,1,2
1310,Female,80,172753,26,Healthcare,9,6
682,Female,4,117157,97,Healthcare,0,4
317,Female,19,171323,16,Entertainment,1,3
855,Female,78,146832,41,Artist,3,5
100,Female,97,75496,32,Entertainment,9,6
1443,Female,38,195462,80,Artist,0,7
172,Female,97,197352,41,,4,1
1377,Male,24,152594,88,Healthcare,7,5
1767,Female,83,162981,39,Marketing,1,3
1089,Female,31,76832,42,Homemaker,6,4
642,Female,11,164911,49,Executive,2,4
1571,Male,95,151078,48,Engineer,7,3
756,Male,78,100367,71,Artist,1,5
218,Male,89,147795,52,Artist,0,4
165,Male,5,199826,14,Entertainment,0,3
767,Female,88,154766,16,Healthcare,8,3
1749,Female,38,194145,69,Artist,8,1
886,Female,31,172673,55,Lawyer,0,6
406,Female,19,194155,85,Healthcare,0,3
1496,Female,95,119823,39,Artist,0,5
1951,Female,73,146293,37,Lawyer,9,4
1364,Male,12,66472,100,Artist,4,3
1764,Female,40,77258,84,Engineer,0,4
866,Female,86,144036,43,Entertainment,6,6
1474,Female,61,117058,16,Entertainment,0,2
1287,Female,89,180131,38,Entertainment,5,4
155,Male,19,169177,22,Entertainment,5,3
1527,Male,36,167990,99,Marketing,0,3
981,Female,73,170741,66,Healthcare,9,4
1479,Female,66,69476,17,Artist,1,2
791,Female,19,199704,55,Artist,0,1
877,Female,28,155978,14,Entertainment,3,7
1403,Male,64,105048,0,Healthcare,5,4
1445,Female,13,164299,69,Entertainment,7,4
1310,Male,48,72435,4,Healthcare,4,3
271,Female,19,208601,54,Lawyer,1,2
384,Male,87,90766,83,Healthcare,1,3
889,Female,63,100002,12,Artist,8,4
1301,Male,56,176763,3,Healthcare,0,1
1465,Female,41,37040,50,Homemaker,8,7
448,Female,35,155145,82,Healthcare,6,3
