CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1031,Female,37,183315,72,,4,4
529,Male,89,142792,16,Healthcare,5,5
203,Male,77,129792,13,Executive,7,4
108,Male,87,72627,62,Lawyer,2,4
421,Female,36,112853,81,Entertainment,6,2
238,Male,26,144276,12,Artist,7,4
1305,Male,14,165218,70,Lawyer,8,4
1194,Female,81,121450,49,,10,6
103,Male,33,186876,43,Lawyer,8,6
731,Male,61,164194,29,Artist,1,1
642,Male,42,180186,43,Entertainment,6,7
392,Male,89,132705,12,Healthcare,3,5
1340,Male,24,170675,14,Executive,8,5
672,Female,90,200388,80,Healthcare,6,4
624,Male,73,103909,17,Doctor,0,5
1479,Male,10,95387,43,Entertainment,8,4
763,Male,78,42869,35,Artist,8,4
1371,Male,25,164004,88,Engineer,1,4
898,Male,0,176940,43,Healthcare,5,4
1527,Female,95,169948,0,Artist,9,4
946,Male,7,63923,18,Lawyer,8,2
966,Male,24,172098,17,Entertainment,1,6
1355,Male,19,149678,93,Healthcare,6,6
1179,Female,94,154132,10,Lawyer,5,4
1266,Male,28,170656,84,Lawyer,5,3
1633,Male,67,142970,39,Lawyer,9,7
406,Male,19,209027,41,Engineer,7,6
1804,Male,19,153571,82,Engineer,3,4
1974,Female,27,203722,73,Engineer,1,7
37,Female,54,128168,50,Executive,5,3
597,Female,25,160108,19,Healthcare,6,4
1958,Male,60,150514,8,Homemaker,0,2
1099,Female,21,171412,39,Doctor,9,3
274,Male,73,87607,51,Healthcare,1,1
1648,Female,24,178912,56,Lawyer,6,2
1964,Male,73,174637,89,Entertainment,7,1
1654,Male,61,194486,50,Engineer,8,2
237,Male,96,128802,1,Entertainment,6,3
672,Male,73,104556,69,Doctor,7,6
1526,Male,16,146674,68,Artist,4,4
842,Male,96,58551,67,Healthcare,8,4
1926,Male,16,190682,24,Engineer,4,2
1902,Male,34,146091,39,Entertainment,7,7
1769,Male,79,149159,55,Artist,6,4
1313,Female,24,136927,90,Artist,1,6
1624,Male,95,127583,89,Doctor,1,6
784,Male,0,177232,62,Doctor,4,7
475,Male,0,185002,39,Doctor,4,3
104,Male,35,176911,95,Healthcare,6,5
1330,Female,36,187596,55,Healthcare,7,1
1091,Male,55,107426,77,Lawyer,9,5
1020,Male,19,163684,94,Artist,4,2
1331,Male,7,166093,69,Doctor,1,3
1265,Female,52,182247,39,Entertainment,7,5
346,Male,46,191173,66,Lawyer,5,4
1336,Male,54,140403,5,Executive,5,4
981,Female,95,175118,3,Executive,1,5
1705,Male,18,168409,74,Executive,10,4
94,Male,19,80185,15,Healthcare,7,3
584,Male,34,103091,62,Doctor,1,6
767,Male,19,103301,81,Engineer,0,2
293,Male,31,192667,39,Artist,5,1
390,Male,19,193810,51,Artist,1,6
681,Female,6,90489,18,Healthcare,7,1
807,Female,78,149061,64,Doctor,7,6
624,Male,19,145123,38,Lawyer,0,2
1296,Male,19,150640,84,Marketing,0,2
217,Female,65,166849,43,Healthcare,8,2
1081,Female,75,173617,88,Healthcare,6,3
1907,Female,9,125108,3,Healthcare,1,3
451,Male,74,149888,93,Artist,0,4
1099,Male,26,131210,100,Entertainment,4,3
970,Male,78,127138,39,,5,3
701,Male,1,120040,79,,1,6
1766,Male,54,128312,43,Healthcare,8,5
291,Female,83,196442,26,Artist,9,5
352,Male,95,125866,81,Artist,4,1
1345,Male,30,166692,96,Executive,5,4
457,Female,92,167662,22,Lawyer,7,3
1576,Female,81,141033,21,Artist,1,1
1295,Male,49,155129,71,Entertainment,7,6
272,Male,96,207475,29,Executive,7,4
341,Male,43,132870,78,Engineer,9,6
308,Male,99,118727,54,Doctor,4,2
585,Female,47,167331,87,Healthcare,2,6
186,Female,62,193598,39,Healthcare,0,7
1218,Male,51,120562,45,Lawyer,8,6
1316,Female,38,106645,39,Artist,6,1
1206,Female,9,115320,52,Healthcare,4,3
1613,Male,46,157446,36,Engineer,8,4
393,Male,35,158844,40,Engineer,0,2
1785,Male,21,160433,92,Lawyer,0,3
250,Female,19,86559,51,Artist,7,4
1008,Male,1,104284,34,Engineer,8,5
1988,Male,53,109091,50,Executive,1,4
1435,Male,34,118239,48,Homemaker,10,1
1861,Male,91,170415,95,Artist,1,6
10,Female,41,160443,8,Healthcare,17,2
795,Male,19,169493,84,Engineer,0,2
270,Female,19,168462,6,Engineer,5,2
604,Female,81,191781,8,Healthcare,9,6
729,Male,26,117099,40,Lawyer,3,1
599,Male,28,161186,49,Healthcare,1,2
71,Male,12,185479,41,Healthcare,5,2
1275,Female,88,172045,39,Doctor,0,2
