CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
1927,Female,70,24203,38,Healthcare,0,6
1799,Female,18,75205,49,Artist,4,2
212,Female,19,90938,19,Artist,6,3
871,Male,24,109098,9,,1,1
409,Male,94,78922,93,Artist,1,4
27,Male,19,170442,59,Entertainment,1,2
37,Female,18,46539,99,Engineer,1,5
1670,Male,78,93420,46,Healthcare,8,5
826,Female,46,88280,74,Healthcare,0,6
578,Female,85,191773,66,Artist,1,1
514,Male,43,122455,34,Artist,1,7
115,Female,1,43177,80,Healthcare,9,5
265,Male,18,100583,9,Healthcare,4,7
132,Male,11,132651,89,Artist,6,4
1274,Male,78,61470,84,Healthcare,1,1
754,Male,3,161822,34,Lawyer,5,2
1796,Male,19,136832,37,Entertainment,8,3
1222,Female,44,79835,59,Artist,9,1
1796,Male,46,119624,70,Artist,1,2
1121,Female,63,53946,35,Doctor,10,1
276,Male,19,86400,85,Executive,0,5
1057,Male,69,63073,39,Artist,0,3
516,Male,0,105153,62,Homemaker,2,7
648,Female,20,169844,64,Healthcare,1,1
998,Male,4,111584,53,Marketing,1,1
790,Male,53,150989,71,Artist,5,4
373,Female,57,45286,21,Healthcare,8,6
503,Female,92,74940,39,Artist,1,2
1955,Female,32,65295,39,Artist,9,4
1039,Female,83,82949,37,Engineer,6,3
1400,Male,12,148699,60,Homemaker,10,2
567,Female,48,65135,78,Marketing,8,7
722,Female,72,59325,98,Entertainment,1,2
586,Female,26,143014,44,Doctor,9,4
521,Male,52,91481,55,Artist,10,6
1172,Male,74,58829,90,Doctor,4,3
1858,Male,57,72300,32,Doctor,1,5
1684,Male,9,88940,38,,1,4
774,Female,27,120594,91,Artist,1,5
1997,Female,23,63512,75,Entertainment,4,2
975,Female,83,59394,86,Artist,1,1
1939,Male,92,99557,39,Artist,0,1
1227,Female,31,37502,93,Executive,1,6
1333,Female,84,77447,23,Engineer,10,1
1811,Male,19,79207,33,Executive,8,3
559,Female,0,88961,41,Entertainment,3,6
180,Female,9,63193,39,Entertainment,8,4
954,Female,42,82289,66,Entertainment,9,6
904,Male,66,34637,78,Lawyer,3,4
1773,Female,91,67555,55,Healthcare,0,6
1443,Male,38,96940,44,Marketing,9,2
255,Male,29,107834,53,Doctor,1,2
963,Female,79,131113,86,Lawyer,1,4
1030,Female,58,94462,88,Marketing,1,5
1605,Male,67,102668,99,Homemaker,1,3
1673,Male,52,69372,70,Lawyer,1,6
613,Male,76,45983,96,Engineer,10,6
280,Male,79,1269,64,Healthcare,7,6
503,Female,50,112637,21,Healthcare,1,5
196,Female,61,51305,28,Artist,8,4
994,Female,84,105823,90,Engineer,2,2
1859,Male,87,51800,84,Lawyer,1,7
1717,Female,78,73441,18,Executive,0,2
349,Male,43,78949,66,Lawyer,1,4
1252,Male,11,64251,17,Entertainment,2,4
1197,Female,30,49987,87,Healthcare,5,3
671,Male,3,79617,36,Marketing,1,2
1679,Female,48,29467,79,Doctor,1,4
1162,Male,81,154080,75,Marketing,1,2
705,Male,10,87780,39,Artist,8,6
333,Male,84,76653,44,Doctor,1,6
792,Female,1,47232,3,Healthcare,0,2
902,Male,15,47759,60,Artist,1,4
1677,Female,10,76469,41,Artist,1,5
301,Female,8,52071,7,Executive,8,3
1042,Female,6,56857,97,Artist,1,3
1444,Male,91,65270,55,Artist,9,6
137,Male,12,90490,5,Engineer,1,4
1652,Female,40,60802,39,Artist,4,1
950,Male,55,55514,72,Engineer,8,5
1426,Male,37,916,94,Entertainment,7,2
424,Female,81,87847,41,Artist,0,3
654,Female,2,69889,69,Lawyer,9,4
1907,Male,93,53261,7,Healthcare,5,2
703,Female,64,160215,88,Entertainment,10,1
1261,Male,15,27049,69,Entertainment,1,6
715,Male,1,140045,1,Artist,3,1
926,Male,52,5531,5,Healthcare,4,1
752,Male,19,87203,76,Lawyer,6,7
860,Male,83,95235,50,Entertainment,8,1
757,Male,10,111326,46,Marketing,0,2
1858,Female,13,101567,53,Artist,6,4
171,Female,61,125012,23,Executive,10,3
102,Female,19,94393,81,Artist,6,4
390,Female,8,68458,23,Healthcare,0,5
297,Female,68,78689,63,Doctor,3,1
1206,Female,19,88806,55,Healthcare,1,4
901,Female,75,78917,88,Doctor,6,4
609,Male,16,66711,66,Artist,1,7
1691,Male,65,136251,64,Lawyer,1,4
171,Female,30,128272,73,Marketing,10,4
60,Male,64,125733,39,Artist,7,4
516,Male,95,82055,49,Engineer,1,2
1770,Female,19,69578,24,Artist,8,5
837,Female,2,54877,95,Doctor,1,1
589,Female,59,121501,14,Doctor,9,4
1264,Male,15,59631,51,Artist,8,1
603,Female,17,116932,53,Healthcare,2,6
1241,Male,60,99307,78,Artist,7,5
378,Female,48,8430,78,Executive,1,7
1457,Female,89,70910,12,Artist,8,3
481,Male,89,67755,10,Artist,8,5
1472,Female,64,54920,48,Executive,4,1
1314,Female,97,66614,59,Healthcare,1,7
778,Male,6,158152,88,Artist,8,4
275,Male,9,103119,8,Artist,9,7
1781,Male,11,163763,39,Artist,2,4
399,Male,92,146773,0,Lawyer,2,3
1371,Male,43,121265,10,Lawyer,1,6
566,Male,38,71195,43,Entertainment,7,2
708,Male,60,109987,1,Healthcare,4,6
36,Female,72,85783,92,Executive,1,4
758,Female,83,18065,40,,3,4
1570,Male,78,55536,32,Lawyer,1,6
895,Female,88,156374,22,Artist,8,2
1584,Female,81,55628,0,Entertainment,6,2
874,Male,16,69486,52,Healthcare,1,6
1660,Female,64,66076,42,Healthcare,5,5
537,Male,38,59863,19,Engineer,1,2
1876,Female,14,41555,97,Lawyer,5,5
35,Female,80,72363,27,Engineer,4,2
962,Male,19,153614,39,Artist,8,4
601,Female,93,86699,24,Healthcare,5,7
765,Male,19,110536,61,Entertainment,4,3
359,Female,87,91159,24,Artist,11,3
508,Female,45,56194,81,Artist,1,3
1818,Male,65,47575,16,Engineer,1,7
1425,Female,92,63325,14,Healthcare,8,7
75,Male,72,162260,74,Doctor,3,4
368,Female,52,118101,63,Doctor,4,1
450,Male,71,134727,4,Executive,0,4
466,Female,55,137918,77,Doctor,8,4
1265,Female,59,158786,92,Healthcare,2,5
1586,Male,61,63814,49,Doctor,9,1
60,Female,29,77238,5,Marketing,1,4
1406,Male,19,131990,6,Artist,6,1
937,Male,97,50118,39,Healthcare,7,2
643,Female,37,57736,62,Lawyer,3,4
1694,Male,6,78373,85,Engineer,1,3
234,Male,87,115122,30,Executive,9,7
1188,Male,21,102814,42,Artist,8,1
580,Male,48,119302,91,Healthcare,8,7
765,Male,46,115443,60,Engineer,8,7
1947,Male,19,32032,86,Artist,5,5
1709,Male,74,113724,97,Entertainment,1,4
1513,Male,1,55494,54,Healthcare,8,1
1479,Female,19,176717,24,Artist,1,3
1168,Female,32,51033,84,Homemaker,1,2
1495,Male,79,83324,42,Artist,2,2
283,Female,27,68755,2,Healthcare,4,6
975,Male,13,66392,93,Lawyer,1,2
420,Male,39,92620,63,Doctor,3,4
53,Male,43,74050,39,Artist,9,5
432,Female,33,52067,4,Engineer,10,5
412,Female,19,89632,61,Artist,1,2
1452,Male,14,91605,84,Engineer,8,4
501,Male,55,104384,17,Healthcare,5,4
