CustomerID,Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
83,Female,59,109064,10,Healthcare,1,1
268,Female,75,84479,73,Lawyer,0,4
109,Female,19,185990,23,Healthcare,6,2
73,Female,44,129899,17,Healthcare,5,3
1159,Female,83,84812,81,Lawyer,6,4
715,Female,85,95404,74,Engineer,10,4
1963,Male,7,105859,70,Healthcare,5,4
731,Male,79,166414,45,Engineer,13,3
45,Male,4,177268,48,Entertainment,0,5
1357,Female,53,118472,20,Healthcare,5,3
826,Female,19,175180,63,Artist,3,3
1494,Male,83,102866,27,Artist,8,3
643,Male,83,106755,15,Healthcare,9,5
126,Female,16,159891,96,Engineer,1,7
974,Female,38,195584,91,Healthcare,9,6
470,Female,59,111160,30,Engineer,9,1
1542,Female,3,103619,95,Entertainment,0,3
41,Female,28,176581,92,Healthcare,3,2
41,Male,68,117973,39,Artist,0,5
1085,Male,53,172265,88,Artist,7,1
683,Female,82,102786,66,Doctor,1,7
1038,Male,0,180894,21,Executive,6,1
540,Female,4,67354,51,Artist,1,1
1823,Female,19,100891,98,Doctor,0,3
978,Male,73,97184,64,Executive,0,7
162,Female,37,92487,20,Healthcare,11,2
1365,Male,62,81509,100,Artist,2,1
1504,Female,29,167898,81,Executive,4,2
180,Female,19,118321,59,Doctor,0,3
1468,Male,78,123604,23,Lawyer,5,4
365,Male,97,163287,1,Executive,1,5
998,Male,86,126875,19,Entertainment,9,4
778,Female,26,203922,39,Artist,0,4
1211,Male,7,129975,52,Doctor,1,3
194,Female,79,197318,90,Executive,1,2
1622,Female,38,97207,13,Lawyer,0,4
1581,Female,28,132936,12,Artist,1,3
609,Male,75,190772,78,Healthcare,3,3
1457,Female,63,98737,87,Healthcare,0,5
659,Female,32,173811,6,Healthcare,0,4
301,Male,54,122248,18,Executive,0,4
1482,Male,31,173314,76,Healthcare,5,5
1792,Female,20,139515,42,Artist,8,2
84,Female,20,104443,63,Artist,1,2
783,Female,30,53259,90,Artist,10,4
756,Female,51,93962,31,Entertainment,1,3
615,Female,45,112733,36,Doctor,0,3
1576,Male,86,170767,84,Artist,6,6
775,Female,81,172104,39,Homemaker,9,2
678,Female,34,94219,17,Engineer,6,4
1565,Female,39,194153,39,Entertainment,6,6
1839,Female,19,112121,98,Artist,0,1
880,Female,78,91672,39,Homemaker,8,4
1954,Female,40,112873,30,Healthcare,1,5
1863,Female,74,102532,96,Marketing,0,3
1361,Female,80,86093,26,Artist,1,2
534,Male,47,165951,64,Artist,2,7
1874,Female,76,110543,64,Lawyer,6,6
1237,Female,79,88326,35,Engineer,8,4
1443,Female,96,89047,30,Lawyer,8,4
1190,Female,32,82595,43,Artist,4,4
1841,Female,57,122389,63,Doctor,6,2
262,Female,66,101936,59,Entertainment,8,6
1608,Male,44,137958,16,Executive,0,5
824,Female,58,199594,49,Healthcare,8,7
905,Female,5,178640,60,Artist,0,4
117,Female,78,112724,45,Doctor,0,3
42,Female,85,76294,99,Artist,5,4
489,Male,89,105857,45,Artist,0,5
1083,Female,55,108858,55,Executive,1,5
1538,Male,58,96104,47,Lawyer,0,4
333,Female,28,141454,3,Healthcare,9,5
1286,Female,15,178944,3,Healthcare,3,5
1164,Female,69,125484,39,Artist,8,7
1475,Female,86,113313,3,Healthcare,8,3
1285,Female,43,192353,67,Healthcare,1,5
1243,Female,70,90707,55,Healthcare,1,2
215,Female,59,97481,61,Artist,1,7
1975,Female,40,144915,11,Healthcare,8,4
1849,Male,67,182927,96,Marketing,12,3
1874,Female,19,117752,29,Artist,0,4
1801,Female,35,175341,45,Artist,0,4
1327,Female,77,132362,15,Doctor,0,4
66,Male,15,104450,26,Doctor,8,5
155,Female,99,164069,82,Healthcare,0,7
1277,Female,86,124846,23,Artist,1,4
518,Female,38,88704,95,Artist,4,6
1522,Male,21,149874,49,Lawyer,0,4
381,Male,81,183282,48,Executive,10,4
141,Male,74,108808,39,Engineer,9,2
1987,Male,16,115910,42,Engineer,3,4
1582,Female,32,186062,100,Artist,1,2
1899,Female,23,116956,36,Healthcare,0,3
519,Male,18,150417,100,Healthcare,4,5
365,Female,66,164259,61,Marketing,7,4
1757,Male,6,70667,15,Healthcare,2,5
1245,Male,26,120931,14,Healthcare,0,3
294,Female,50,204337,100,Healthcare,3,3
1835,Female,73,160034,68,Artist,1,5
42,Female,53,171842,59,Artist,0,3
594,Female,70,88802,6,,0,2
1186,Female,29,166491,90,Doctor,1,6
1629,Female,75,160436,66,Artist,6,4
748,Female,19,171731,38,Lawyer,10,3
1500,Male,93,84652,13,Artist,2,5
1031,Female,81,167736,46,Executive,1,4
1491,Male,86,126485,48,Healthcare,3,3
1902,Male,65,133761,96,Artist,2,7
1617,Female,25,182320,36,Healthcare,0,5
1893,Male,18,99967,60,Engineer,0,4
1192,Female,19,103492,4,Healthcare,0,4
1148,Female,40,124152,76,Doctor,9,5
153,Female,19,112054,43,Artist,0,4
1502,Female,99,159874,3,Doctor,6,1
